"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","0555",-3.00,0.00,"0837",4.00,4.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","0735",-3.00,0.00,"0959",-18.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","1620",-3.00,0.00,"2038",-10.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","1405",-5.00,0.00,"1831",-1.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","1040",9.00,9.00,"1319",-15.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","1915",-4.00,0.00,"2319",-24.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","0500",2.00,2.00,"0921",-8.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","1405",-2.00,0.00,"1645",0.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","0600",-4.00,0.00,"1027",-6.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","1945",17.00,17.00,"2236",0.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","2200",-4.00,0.00,"0045",-1.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","FAI","Fairbanks, AK","2330",0.00,0.00,"0219",4.00,4.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","2150",-2.00,0.00,"0158",-20.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","1645",67.00,67.00,"2033",68.00,68.00,0.00,67.00,0.00,1.00,0.00,0.00,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","0130",-8.00,0.00,"0625",28.00,28.00,0.00,0.00,0.00,28.00,0.00,0.00,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","0802",39.00,39.00,"1257",25.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","2125",-1.00,0.00,"0002",-11.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","FAI","Fairbanks, AK","1945",-8.00,0.00,"2227",-12.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","2315",1.00,1.00,"0151",-7.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","2355",-8.00,0.00,"0232",-6.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","FAI","Fairbanks, AK","1345",10.00,10.00,"1638",-1.00,0.00,0.00,,,,,,
2017-12-01,"AS","FAI","Fairbanks, AK","SEA","Seattle, WA","1747",-8.00,0.00,"2220",-7.00,0.00,0.00,,,,,,
2017-12-01,"AS","FAI","Fairbanks, AK","SEA","Seattle, WA","0625",-3.00,0.00,"1101",-4.00,0.00,0.00,,,,,,
2017-12-01,"AS","FAI","Fairbanks, AK","SEA","Seattle, WA","0125",-17.00,0.00,"0614",9.00,9.00,0.00,,,,,,
2017-12-01,"AS","PDX","Portland, OR","ANC","Anchorage, AK","0835",-8.00,0.00,"1131",-1.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","PDX","Portland, OR","0030",-6.00,0.00,"0508",3.00,3.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","PDX","Portland, OR","1150",-5.00,0.00,"1610",-20.00,0.00,0.00,,,,,,
2017-12-01,"AS","PDX","Portland, OR","ANC","Anchorage, AK","2205",-6.00,0.00,"0047",-10.00,0.00,0.00,,,,,,
2017-12-01,"AS","ANC","Anchorage, AK","SEA","Seattle, WA","0125",-8.00,0.00,"0553",0.00,0.00,0.00,,,,,,
2017-12-01,"AS","SEA","Seattle, WA","ANC","Anchorage, AK","1755",-8.00,0.00,"2050",15.00,15.00,0.00,0.00,0.00,15.00,0.00,0.00,
