,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 18
110,2017-08-01,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",805,0.0,0.0,832.0,-8.0,0.0,0.0,,,,,,
111,2017-08-01,WN,CLE,"Cleveland, OH",STL,"St. Louis, MO",2040,-12.0,0.0,2054.0,-16.0,0.0,0.0,,,,,,
151,2017-08-01,WN,DEN,"Denver, CO",CLE,"Cleveland, OH",1025,-5.0,0.0,1511.0,1.0,1.0,0.0,,,,,,
155,2017-08-01,WN,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",1520,217.0,217.0,138.0,203.0,203.0,0.0,203.0,0.0,0.0,0.0,0.0,
161,2017-08-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1610,18.0,18.0,1840.0,20.0,20.0,0.0,10.0,0.0,2.0,0.0,8.0,
162,2017-08-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1935,11.0,11.0,2152.0,7.0,7.0,0.0,,,,,,
163,2017-08-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1430,26.0,26.0,1717.0,37.0,37.0,0.0,0.0,26.0,11.0,0.0,0.0,
164,2017-08-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",2245,-4.0,0.0,42.0,-8.0,0.0,0.0,,,,,,
165,2017-08-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",525,-5.0,0.0,726.0,-4.0,0.0,0.0,,,,,,
166,2017-08-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",1215,53.0,53.0,1524.0,59.0,59.0,0.0,0.0,0.0,59.0,0.0,0.0,
167,2017-08-01,WN,MDW,"Chicago, IL",CLE,"Cleveland, OH",925,-1.0,0.0,1129.0,-6.0,0.0,0.0,,,,,,
176,2017-08-01,WN,PHX,"Phoenix, AZ",CLE,"Cleveland, OH",1045,-1.0,0.0,1736.0,-4.0,0.0,0.0,,,,,,
179,2017-08-01,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",825,-2.0,0.0,1047.0,-8.0,0.0,0.0,,,,,,
180,2017-08-01,WN,STL,"St. Louis, MO",CLE,"Cleveland, OH",2050,-6.0,0.0,2301.0,-14.0,0.0,0.0,,,,,,
192,2017-08-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",850,-8.0,0.0,1013.0,-17.0,0.0,0.0,,,,,,
194,2017-08-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",615,-4.0,0.0,742.0,-3.0,0.0,0.0,,,,,,
195,2017-08-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1300,-3.0,0.0,1427.0,-13.0,0.0,0.0,,,,,,
196,2017-08-01,EV,CLE,"Cleveland, OH",DCA,"Washington, DC",905,-9.0,0.0,1010.0,-18.0,0.0,0.0,,,,,,
197,2017-08-01,EV,CLE,"Cleveland, OH",IAH,"Houston, TX",856,-11.0,0.0,1036.0,-14.0,0.0,0.0,,,,,,
198,2017-08-01,EV,CLE,"Cleveland, OH",EWR,"Newark, NJ",1242,-9.0,0.0,1412.0,-8.0,0.0,0.0,,,,,,
199,2017-08-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1100,-8.0,0.0,1246.0,-4.0,0.0,0.0,,,,,,
200,2017-08-01,EV,DCA,"Washington, DC",CLE,"Cleveland, OH",630,-16.0,0.0,732.0,-24.0,0.0,0.0,,,,,,
201,2017-08-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",640,-2.0,0.0,816.0,-10.0,0.0,0.0,,,,,,
202,2017-08-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1402,7.0,7.0,1637.0,53.0,53.0,0.0,7.0,0.0,46.0,0.0,0.0,
203,2017-08-01,EV,RDU,"Raleigh/Durham, NC",CLE,"Cleveland, OH",1913,26.0,26.0,2103.0,8.0,8.0,0.0,,,,,,
204,2017-08-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1230,8.0,8.0,1414.0,3.0,3.0,0.0,,,,,,
205,2017-08-01,EV,CLE,"Cleveland, OH",RDU,"Raleigh/Durham, NC",755,-4.0,0.0,911.0,-12.0,0.0,0.0,,,,,,
206,2017-08-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",1747,29.0,29.0,1950.0,21.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,
207,2017-08-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",950,-2.0,0.0,1206.0,14.0,14.0,0.0,,,,,,
208,2017-08-01,EV,LGA,"New York, NY",CLE,"Cleveland, OH",1915,22.0,22.0,2139.0,27.0,27.0,0.0,22.0,0.0,5.0,0.0,0.0,
209,2017-08-01,EV,CLE,"Cleveland, OH",LGA,"New York, NY",645,-9.0,0.0,822.0,-5.0,0.0,0.0,,,,,,
210,2017-08-01,NK,MCO,"Orlando, FL",CLE,"Cleveland, OH",1051,-8.0,0.0,1304.0,-12.0,0.0,0.0,,,,,,
211,2017-08-01,NK,CLE,"Cleveland, OH",MCO,"Orlando, FL",809,5.0,5.0,1031.0,3.0,3.0,0.0,,,,,,
212,2017-08-01,NK,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",935,-11.0,0.0,1609.0,-27.0,0.0,0.0,,,,,,
213,2017-08-01,NK,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",2010,-4.0,0.0,2124.0,-11.0,0.0,0.0,,,,,,
216,2017-08-01,NK,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",2306,-7.0,0.0,631.0,-4.0,0.0,0.0,,,,,,
217,2017-08-01,NK,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",1731,-9.0,0.0,2014.0,42.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,
221,2017-08-01,AA,CLE,"Cleveland, OH",DFW,"Dallas/Fort Worth, TX",730,-1.0,0.0,908.0,-8.0,0.0,0.0,,,,,,
222,2017-08-01,AA,CLE,"Cleveland, OH",CLT,"Charlotte, NC",1025,-2.0,0.0,1155.0,-7.0,0.0,0.0,,,,,,
227,2017-08-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1750,-5.0,0.0,2008.0,-5.0,0.0,0.0,,,,,,
228,2017-08-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",923,-5.0,0.0,1019.0,-21.0,0.0,0.0,,,,,,
229,2017-08-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",905,-15.0,0.0,908.0,-24.0,0.0,0.0,,,,,,
230,2017-08-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1057,-7.0,0.0,1054.0,-30.0,0.0,0.0,,,,,,
231,2017-08-01,UA,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",1940,-1.0,0.0,2114.0,-25.0,0.0,0.0,,,,,,
232,2017-08-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",2120,-2.0,0.0,2339.0,-4.0,0.0,0.0,,,,,,
233,2017-08-01,UA,DEN,"Denver, CO",CLE,"Cleveland, OH",1110,16.0,16.0,1612.0,11.0,11.0,0.0,,,,,,
234,2017-08-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1505,-10.0,0.0,1534.0,2.0,2.0,0.0,,,,,,
235,2017-08-01,UA,SFO,"San Francisco, CA",CLE,"Cleveland, OH",2249,-5.0,0.0,623.0,-5.0,0.0,0.0,,,,,,
236,2017-08-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",604,-5.0,0.0,616.0,-13.0,0.0,0.0,,,,,,
237,2017-08-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1420,-11.0,0.0,1439.0,-8.0,0.0,0.0,,,,,,
238,2017-08-01,UA,IAH,"Houston, TX",CLE,"Cleveland, OH",710,-4.0,0.0,1052.0,-16.0,0.0,0.0,,,,,,
239,2017-08-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",1944,13.0,13.0,2007.0,-8.0,0.0,0.0,,,,,,
240,2017-08-01,UA,CLE,"Cleveland, OH",EWR,"Newark, NJ",1028,-11.0,0.0,1137.0,-29.0,0.0,0.0,,,,,,
241,2017-08-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",746,-6.0,0.0,958.0,-4.0,0.0,0.0,,,,,,
242,2017-08-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",605,-4.0,0.0,808.0,-13.0,0.0,0.0,,,,,,
243,2017-08-01,UA,CLE,"Cleveland, OH",SFO,"San Francisco, CA",723,-4.0,0.0,901.0,-38.0,0.0,0.0,,,,,,
244,2017-08-01,UA,MCO,"Orlando, FL",CLE,"Cleveland, OH",1150,-5.0,0.0,1354.0,-20.0,0.0,0.0,,,,,,
245,2017-08-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",759,-6.0,0.0,921.0,-21.0,0.0,0.0,,,,,,
246,2017-08-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1659,-5.0,0.0,1848.0,6.0,6.0,0.0,,,,,,
247,2017-08-01,UA,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",2132,-2.0,0.0,458.0,-4.0,0.0,0.0,,,,,,
248,2017-08-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1932,59.0,59.0,2250.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,
249,2017-08-01,UA,CLE,"Cleveland, OH",ORD,"Chicago, IL",800,-7.0,0.0,802.0,-25.0,0.0,0.0,,,,,,
250,2017-08-01,UA,EWR,"Newark, NJ",CLE,"Cleveland, OH",1802,-9.0,0.0,1932.0,-8.0,0.0,0.0,,,,,,
251,2017-08-01,UA,CLE,"Cleveland, OH",DEN,"Denver, CO",1100,-7.0,0.0,1203.0,-6.0,0.0,0.0,,,,,,
252,2017-08-01,UA,LAX,"Los Angeles, CA",CLE,"Cleveland, OH",1211,7.0,7.0,1936.0,-6.0,0.0,0.0,,,,,,
253,2017-08-01,UA,CLE,"Cleveland, OH",IAH,"Houston, TX",600,-6.0,0.0,735.0,-20.0,0.0,0.0,,,,,,
254,2017-08-01,UA,SFO,"San Francisco, CA",CLE,"Cleveland, OH",1315,-4.0,0.0,2057.0,7.0,7.0,0.0,,,,,,
255,2017-08-01,UA,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",727,-5.0,0.0,902.0,-28.0,0.0,0.0,,,,,,
256,2017-08-01,UA,ORD,"Chicago, IL",CLE,"Cleveland, OH",1055,-7.0,0.0,1326.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,
257,2017-08-01,UA,IAD,"Washington, DC",CLE,"Cleveland, OH",1705,-2.0,0.0,1815.0,-15.0,0.0,0.0,,,,,,
260,2017-08-01,DL,MSP,"Minneapolis, MN",CLE,"Cleveland, OH",1255,8.0,8.0,1551.0,3.0,3.0,0.0,,,,,,
264,2017-08-01,DL,DTW,"Detroit, MI",CLE,"Cleveland, OH",2003,7.0,7.0,2051.0,-8.0,0.0,0.0,,,,,,
266,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1907,-2.0,0.0,2034.0,-26.0,0.0,0.0,,,,,,
270,2017-08-01,DL,ATL,"Atlanta, GA",CLE,"Cleveland, OH",1429,-6.0,0.0,1600.0,-21.0,0.0,0.0,,,,,,
271,2017-08-01,DL,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1701,-2.0,0.0,1840.0,-15.0,0.0,0.0,,,,,,
